=== ANALYSIS REPORT ===
Total Chars Scanned: 5,111,365,024
Out-of-Scope Chars Found: 58,237,838
Unique Out-of-Scope Chars: 3,932
Noise Percentage: 1.1394%
=======================

CHAR   | HEX      | COUNT      | NAME
------------------------------------------------------------
a      | U+0061   | 5,632,310  | LATIN SMALL LETTER A
n      | U+006E   | 4,703,174  | LATIN SMALL LETTER N
e      | U+0065   | 4,476,416  | LATIN SMALL LETTER E
i      | U+0069   | 3,947,905  | LATIN SMALL LETTER I
o      | U+006F   | 3,253,492  | LATIN SMALL LETTER O
t      | U+0074   | 3,183,687  | LATIN SMALL LETTER T
s      | U+0073   | 2,682,417  | LATIN SMALL LETTER S
r      | U+0072   | 2,629,124  | LATIN SMALL LETTER R
l      | U+006C   | 2,028,751  | LATIN SMALL LETTER L
u      | U+0075   | 1,756,667  | LATIN SMALL LETTER U
h      | U+0068   | 1,667,262  | LATIN SMALL LETTER H
d      | U+0064   | 1,660,353  | LATIN SMALL LETTER D
m      | U+006D   | 1,521,979  | LATIN SMALL LETTER M
c      | U+0063   | 1,377,831  | LATIN SMALL LETTER C
y      | U+0079   | 1,004,114  | LATIN SMALL LETTER Y
p      | U+0070   | 972,252    | LATIN SMALL LETTER P
g      | U+0067   | 902,656    | LATIN SMALL LETTER G
k      | U+006B   | 671,831    | LATIN SMALL LETTER K
b      | U+0062   | 657,839    | LATIN SMALL LETTER B
w      | U+0077   | 652,381    | LATIN SMALL LETTER W
f      | U+0066   | 565,325    | LATIN SMALL LETTER F
v      | U+0076   | 543,796    | LATIN SMALL LETTER V
       | U+200D   | 538,035    | ZERO WIDTH JOINER
S      | U+0053   | 502,768    | LATIN CAPITAL LETTER S
M      | U+004D   | 483,311    | LATIN CAPITAL LETTER M
A      | U+0041   | 475,716    | LATIN CAPITAL LETTER A
T      | U+0054   | 428,827    | LATIN CAPITAL LETTER T
I      | U+0049   | 365,182    | LATIN CAPITAL LETTER I
C      | U+0043   | 347,069    | LATIN CAPITAL LETTER C
P      | U+0050   | 303,462    | LATIN CAPITAL LETTER P
D      | U+0044   | 281,322    | LATIN CAPITAL LETTER D
N      | U+004E   | 261,802    | LATIN CAPITAL LETTER N
R      | U+0052   | 254,621    | LATIN CAPITAL LETTER R
ꞌ      | U+A78C   | 239,919    | LATIN SMALL LETTER SALTILLO
E      | U+0045   | 232,194    | LATIN CAPITAL LETTER E
j      | U+006A   | 231,306    | LATIN SMALL LETTER J
L      | U+004C   | 224,706    | LATIN CAPITAL LETTER L
B      | U+0042   | 211,245    | LATIN CAPITAL LETTER B
x      | U+0078   | 203,601    | LATIN SMALL LETTER X
O      | U+004F   | 190,074    | LATIN CAPITAL LETTER O
q      | U+0071   | 186,722    | LATIN SMALL LETTER Q
H      | U+0048   | 161,789    | LATIN CAPITAL LETTER H
F      | U+0046   | 160,435    | LATIN CAPITAL LETTER F
K      | U+004B   | 156,201    | LATIN CAPITAL LETTER K
ɨ      | U+0268   | 156,093    | LATIN SMALL LETTER I WITH STROKE
G      | U+0047   | 153,338    | LATIN CAPITAL LETTER G
z      | U+007A   | 141,173    | LATIN SMALL LETTER Z
       | U+200C   | 132,804    | ZERO WIDTH NON-JOINER
W      | U+0057   | 128,315    | LATIN CAPITAL LETTER W
U      | U+0055   | 120,768    | LATIN CAPITAL LETTER U
V      | U+0056   | 116,556    | LATIN CAPITAL LETTER V
ा      | U+093E   | 103,129    | DEVANAGARI VOWEL SIGN AA
J      | U+004A   | 98,254     | LATIN CAPITAL LETTER J
ا      | U+0627   | 86,690     | ARABIC LETTER ALEF
ل      | U+0644   | 84,971     | ARABIC LETTER LAM
्      | U+094D   | 74,906     | DEVANAGARI SIGN VIRAMA
Y      | U+0059   | 73,899     | LATIN CAPITAL LETTER Y
े      | U+0947   | 72,346     | DEVANAGARI VOWEL SIGN E
र      | U+0930   | 66,174     | DEVANAGARI LETTER RA
ు      | U+0C41   | 65,859     | TELUGU VOWEL SIGN U
்      | U+0BCD   | 63,739     | TAMIL SIGN VIRAMA
क      | U+0915   | 58,112     | DEVANAGARI LETTER KA
X      | U+0058   | 53,443     | LATIN CAPITAL LETTER X
న      | U+0C28   | 53,069     | TELUGU LETTER NA
त      | U+0924   | 52,818     | DEVANAGARI LETTER TA
া      | U+09BE   | 50,682     | BENGALI VOWEL SIGN AA
ن      | U+0646   | 48,264     | ARABIC LETTER NOON
ŋ      | U+014B   | 44,360     | LATIN SMALL LETTER ENG
ి      | U+0C3F   | 42,985     | TELUGU VOWEL SIGN I
م      | U+0645   | 42,359     | ARABIC LETTER MEEM
ë      | U+00EB   | 41,922     | LATIN SMALL LETTER E WITH DIAERESIS
ي      | U+064A   | 41,780     | ARABIC LETTER YEH
ह      | U+0939   | 39,272     | DEVANAGARI LETTER HA
स      | U+0938   | 37,505     | DEVANAGARI LETTER SA
و      | U+0648   | 37,492     | ARABIC LETTER WAW
य      | U+092F   | 37,371     | DEVANAGARI LETTER YA
ि      | U+093F   | 37,210     | DEVANAGARI VOWEL SIGN I
ी      | U+0940   | 36,745     | DEVANAGARI VOWEL SIGN II
ে      | U+09C7   | 35,327     | BENGALI VOWEL SIGN E
न      | U+0928   | 34,945     | DEVANAGARI LETTER NA
র      | U+09B0   | 34,556     | BENGALI LETTER RA
म      | U+092E   | 34,104     | DEVANAGARI LETTER MA
ñ      | U+00F1   | 34,052     | LATIN SMALL LETTER N WITH TILDE
ನ      | U+0CA8   | 32,311     | KANNADA LETTER NA
ल      | U+0932   | 32,096     | DEVANAGARI LETTER LA
ه      | U+0647   | 32,040     | ARABIC LETTER HEH
్      | U+0C4D   | 31,984     | TELUGU SIGN VIRAMA
प      | U+092A   | 30,074     | DEVANAGARI LETTER PA
க      | U+0B95   | 29,675     | TAMIL LETTER KA
ب      | U+0628   | 28,805     | ARABIC LETTER BEH
ر      | U+0631   | 27,799     | ARABIC LETTER REH
व      | U+0935   | 27,240     | DEVANAGARI LETTER VA
ع      | U+0639   | 27,176     | ARABIC LETTER AIN
ं      | U+0902   | 26,970     | DEVANAGARI SIGN ANUSVARA
ு      | U+0BC1   | 26,822     | TAMIL VOWEL SIGN U
َ      | U+064E   | 26,211     | ARABIC FATHA
ా      | U+0C3E   | 26,100     | TELUGU VOWEL SIGN AA
த      | U+0BA4   | 25,964     | TAMIL LETTER TA
್      | U+0CCD   | 25,638     | KANNADA SIGN VIRAMA
ర      | U+0C30   | 23,402     | TELUGU LETTER RA
ி      | U+0BBF   | 23,361     | TAMIL VOWEL SIGN I
ন      | U+09A8   | 22,931     | BENGALI LETTER NA
ो      | U+094B   | 22,680     | DEVANAGARI VOWEL SIGN O
ು      | U+0CC1   | 22,288     | KANNADA VOWEL SIGN U
্      | U+09CD   | 22,203     | BENGALI SIGN VIRAMA
మ      | U+0C2E   | 22,002     | TELUGU LETTER MA
ি      | U+09BF   | 21,850     | BENGALI VOWEL SIGN I
Z      | U+005A   | 21,828     | LATIN CAPITAL LETTER Z
Q      | U+0051   | 21,634     | LATIN CAPITAL LETTER Q
•      | U+2022   | 21,312     | BULLET
క      | U+0C15   | 21,226     | TELUGU LETTER KA
ಿ      | U+0CBF   | 21,056     | KANNADA VOWEL SIGN I
ల      | U+0C32   | 20,534     | TELUGU LETTER LA
ল      | U+09B2   | 19,536     | BENGALI LETTER LA
ত      | U+09A4   | 19,139     | BENGALI LETTER TA
ण      | U+0923   | 19,128     | DEVANAGARI LETTER NNA
ক      | U+0995   | 19,087     | BENGALI LETTER KA
వ      | U+0C35   | 18,872     | TELUGU LETTER VA
आ      | U+0906   | 18,722     | DEVANAGARI LETTER AA
ت      | U+062A   | 18,317     | ARABIC LETTER TEH
∙      | U+2219   | 18,245     | BULLET OPERATOR
ব      | U+09AC   | 18,151     | BENGALI LETTER BA
د      | U+062F   | 17,620     | ARABIC LETTER DAL
ದ      | U+0CA6   | 17,346     | KANNADA LETTER DA
ன      | U+0BA9   | 17,015     | TAMIL LETTER NNNA
द      | U+0926   | 16,782     | DEVANAGARI LETTER DA
ప      | U+0C2A   | 16,779     | TELUGU LETTER PA
च      | U+091A   | 16,514     | DEVANAGARI LETTER CA
س      | U+0633   | 16,250     | ARABIC LETTER SEEN
య      | U+0C2F   | 16,096     | TELUGU LETTER YA
ज      | U+091C   | 15,985     | DEVANAGARI LETTER JA
ப      | U+0BAA   | 15,783     | TAMIL LETTER PA
ர      | U+0BB0   | 15,737     | TAMIL LETTER RA
త      | U+0C24   | 15,706     | TELUGU LETTER TA
ா      | U+0BBE   | 15,586     | TAMIL VOWEL SIGN AA
చ      | U+0C1A   | 15,433     | TELUGU LETTER CA
ম      | U+09AE   | 15,191     | BENGALI LETTER MA
أ      | U+0623   | 15,134     | ARABIC LETTER ALEF WITH HAMZA ABOVE
ద      | U+0C26   | 15,134     | TELUGU LETTER DA
̱      | U+0331   | 14,890     | COMBINING MACRON BELOW
ف      | U+0641   | 14,853     | ARABIC LETTER FEH
ம      | U+0BAE   | 14,812     | TAMIL LETTER MA
ರ      | U+0CB0   | 14,487     | KANNADA LETTER RA
ق      | U+0642   | 14,483     | ARABIC LETTER QAF
ం      | U+0C02   | 14,305     | TELUGU SIGN ANUSVARA
ु      | U+0941   | 13,892     | DEVANAGARI VOWEL SIGN U
য      | U+09AF   | 13,515     | BENGALI LETTER YA
ك      | U+0643   | 13,127     | ARABIC LETTER KAF
স      | U+09B8   | 13,003     | BENGALI LETTER SA
ح      | U+062D   | 12,791     | ARABIC LETTER HAH
డ      | U+0C21   | 12,771     | TELUGU LETTER DDA
ಾ      | U+0CBE   | 12,706     | KANNADA VOWEL SIGN AA
வ      | U+0BB5   | 12,557     | TAMIL LETTER VA
↑      | U+2191   | 12,350     | UPWARDS ARROW
श      | U+0936   | 12,258     | DEVANAGARI LETTER SHA
ವ      | U+0CB5   | 12,141     | KANNADA LETTER VA
ग      | U+0917   | 11,919     | DEVANAGARI LETTER GA
ೆ      | U+0CC6   | 11,801     | KANNADA VOWEL SIGN E
ட      | U+0B9F   | 11,756     | TAMIL LETTER TTA
ʌ      | U+028C   | 11,724     | LATIN SMALL LETTER TURNED V
ే      | U+0C47   | 11,681     | TELUGU VOWEL SIGN EE
।      | U+0964   | 11,642     | DEVANAGARI DANDA
ू      | U+0942   | 11,533     | DEVANAGARI VOWEL SIGN UU
ट      | U+091F   | 11,516     | DEVANAGARI LETTER TTA
ब      | U+092C   | 10,792     | DEVANAGARI LETTER BA
ல      | U+0BB2   | 10,677     | TAMIL LETTER LA
अ      | U+0905   | 10,663     | DEVANAGARI LETTER A
ಲ      | U+0CB2   | 10,645     | KANNADA LETTER LA
ய      | U+0BAF   | 10,571     | TAMIL LETTER YA
»      | U+00BB   | 10,549     | RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
ⁿ      | U+207F   | 10,462     | SUPERSCRIPT LATIN SMALL LETTER N
ె      | U+0C46   | 10,299     | TELUGU VOWEL SIGN E
ಗ      | U+0C97   | 10,225     | KANNADA LETTER GA
ತ      | U+0CA4   | 10,079     | KANNADA LETTER TA
দ      | U+09A6   | 10,044     | BENGALI LETTER DA
ை      | U+0BC8   | 9,973      | TAMIL VOWEL SIGN AI
ু      | U+09C1   | 9,956      | BENGALI VOWEL SIGN U
হ      | U+09B9   | 9,931      | BENGALI LETTER HA
ə      | U+0259   | 9,923      | LATIN SMALL LETTER SCHWA
‑      | U+2011   | 9,806      | NON-BREAKING HYPHEN
আ      | U+0986   | 9,746      | BENGALI LETTER AA
గ      | U+0C17   | 9,573      | TELUGU LETTER GA
ಕ      | U+0C95   | 9,491      | KANNADA LETTER KA
ట      | U+0C1F   | 9,058      | TELUGU LETTER TTA
స      | U+0C38   | 8,738      | TELUGU LETTER SA
ِ      | U+0650   | 8,583      | ARABIC KASRA
ో      | U+0C4B   | 8,541      | TELUGU VOWEL SIGN OO
ą      | U+0105   | 8,343      | LATIN SMALL LETTER A WITH OGONEK
ة      | U+0629   | 8,327      | ARABIC LETTER TEH MARBUTA
ள      | U+0BB3   | 8,296      | TAMIL LETTER LLA
ى      | U+0649   | 8,173      | ARABIC LETTER ALEF MAKSURA
ड      | U+0921   | 8,022      | DEVANAGARI LETTER DDA
ற      | U+0BB1   | 7,944      | TAMIL LETTER RRA
প      | U+09AA   | 7,933      | BENGALI LETTER PA
ü      | U+00FC   | 7,810      | LATIN SMALL LETTER U WITH DIAERESIS
ɛ      | U+025B   | 7,560      | LATIN SMALL LETTER OPEN E
ಯ      | U+0CAF   | 7,498      | KANNADA LETTER YA
ీ      | U+0C40   | 7,386      | TELUGU VOWEL SIGN II
ध      | U+0927   | 7,316      | DEVANAGARI LETTER DHA
ُ      | U+064F   | 7,312      | ARABIC DAMMA
ǝ      | U+01DD   | 7,243      | LATIN SMALL LETTER TURNED E
á      | U+00E1   | 7,238      | LATIN SMALL LETTER A WITH ACUTE
ْ      | U+0652   | 7,019      | ARABIC SUKUN
ந      | U+0BA8   | 6,949      | TAMIL LETTER NA
ச      | U+0B9A   | 6,946      | TAMIL LETTER CA
ص      | U+0635   | 6,933      | ARABIC LETTER SAD
ಮ      | U+0CAE   | 6,902      | KANNADA LETTER MA
ே      | U+0BC7   | 6,851      | TAMIL VOWEL SIGN EE
ج      | U+062C   | 6,796      | ARABIC LETTER JEEM
̈      | U+0308   | 6,794      | COMBINING DIAERESIS
ṭ      | U+1E6D   | 6,543      | LATIN SMALL LETTER T WITH DOT BELOW
ಂ      | U+0C82   | 6,498      | KANNADA SIGN ANUSVARA
়      | U+09BC   | 6,480      | BENGALI SIGN NUKTA
ɔ      | U+0254   | 6,408      | LATIN SMALL LETTER OPEN O
ಸ      | U+0CB8   | 6,372      | KANNADA LETTER SA
ä      | U+00E4   | 6,316      | LATIN SMALL LETTER A WITH DIAERESIS
į      | U+012F   | 6,290      | LATIN SMALL LETTER I WITH OGONEK
ಳ      | U+0CB3   | 5,915      | KANNADA LETTER LLA
ष      | U+0937   | 5,892      | DEVANAGARI LETTER SSA
ث      | U+062B   | 5,871      | ARABIC LETTER THEH
ই      | U+0987   | 5,755      | BENGALI LETTER I
ّ      | U+0651   | 5,639      | ARABIC SHADDA
ش      | U+0634   | 5,599      | ARABIC LETTER SHEEN
ए      | U+090F   | 5,506      | DEVANAGARI LETTER E
ذ      | U+0630   | 5,483      | ARABIC LETTER THAL
అ      | U+0C05   | 5,483      | TELUGU LETTER A
ख      | U+0916   | 5,480      | DEVANAGARI LETTER KHA
ै      | U+0948   | 5,463      | DEVANAGARI VOWEL SIGN AI
إ      | U+0625   | 5,431      | ARABIC LETTER ALEF WITH HAMZA BELOW
थ      | U+0925   | 5,416      | DEVANAGARI LETTER THA
ೇ      | U+0CC7   | 5,391      | KANNADA VOWEL SIGN EE
ı      | U+0131   | 5,346      | LATIN SMALL LETTER DOTLESS I
उ      | U+0909   | 5,180      | DEVANAGARI LETTER U
ú      | U+00FA   | 5,161      | LATIN SMALL LETTER U WITH ACUTE
►      | U+25BA   | 5,097      | BLACK RIGHT-POINTING POINTER
ো      | U+09CB   | 5,046      | BENGALI VOWEL SIGN O
அ      | U+0B85   | 4,973      | TAMIL LETTER A
ొ      | U+0C4A   | 4,937      | TELUGU VOWEL SIGN O
ɗ      | U+0257   | 4,923      | LATIN SMALL LETTER D WITH HOOK
ḷ      | U+1E37   | 4,922      | LATIN SMALL LETTER L WITH DOT BELOW
ē      | U+0113   | 4,915      | LATIN SMALL LETTER E WITH MACRON
भ      | U+092D   | 4,898      | DEVANAGARI LETTER BHA
এ      | U+098F   | 4,862      | BENGALI LETTER E
ছ      | U+099B   | 4,814      | BENGALI LETTER CHA
خ      | U+062E   | 4,790      | ARABIC LETTER KHAH
…      | U+2026   | 4,704      | HORIZONTAL ELLIPSIS
‐      | U+2010   | 4,662      | HYPHEN
ী      | U+09C0   | 4,603      | BENGALI VOWEL SIGN II
ḍ      | U+1E0D   | 4,565      | LATIN SMALL LETTER D WITH DOT BELOW
é      | U+00E9   | 4,565      | LATIN SMALL LETTER E WITH ACUTE
ಡ      | U+0CA1   | 4,555      | KANNADA LETTER DDA
í      | U+00ED   | 4,460      | LATIN SMALL LETTER I WITH ACUTE
ʉ      | U+0289   | 4,419      | LATIN SMALL LETTER U BAR
ಹ      | U+0CB9   | 4,364      | KANNADA LETTER HA
¿      | U+00BF   | 4,156      | INVERTED QUESTION MARK
·      | U+00B7   | 4,129      | MIDDLE DOT
ಅ      | U+0C85   | 4,127      | KANNADA LETTER A
ಬ      | U+0CAC   | 4,101      | KANNADA LETTER BA
জ      | U+099C   | 3,999      | BENGALI LETTER JA
బ      | U+0C2C   | 3,923      | TELUGU LETTER BA
ோ      | U+0BCB   | 3,862      | TAMIL VOWEL SIGN OO
«      | U+00AB   | 3,830      | LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
©      | U+00A9   | 3,744      | COPYRIGHT SIGN
°      | U+00B0   | 3,703      | DEGREE SIGN
எ      | U+0B8E   | 3,701      | TAMIL LETTER E
इ      | U+0907   | 3,638      | DEVANAGARI LETTER I
ض      | U+0636   | 3,611      | ARABIC LETTER DAD
ş      | U+015F   | 3,577      | LATIN SMALL LETTER S WITH CEDILLA
இ      | U+0B87   | 3,568      | TAMIL LETTER I
ठ      | U+0920   | 3,566      | DEVANAGARI LETTER TTHA
ɓ      | U+0253   | 3,563      | LATIN SMALL LETTER B WITH HOOK
️      | U+FE0F   | 3,560      | VARIATION SELECTOR-16
ō      | U+014D   | 3,526      | LATIN SMALL LETTER O WITH MACRON
ண      | U+0BA3   | 3,465      | TAMIL LETTER NNA
،      | U+060C   | 3,464      | ARABIC COMMA
শ      | U+09B6   | 3,433      | BENGALI LETTER SHA
ز      | U+0632   | 3,430      | ARABIC LETTER ZAIN
ळ      | U+0933   | 3,406      | DEVANAGARI LETTER LLA
ç      | U+00E7   | 3,396      | LATIN SMALL LETTER C WITH CEDILLA
ಪ      | U+0CAA   | 3,277      | KANNADA LETTER PA
থ      | U+09A5   | 3,250      | BENGALI LETTER THA
ġ      | U+0121   | 3,207      | LATIN SMALL LETTER G WITH DOT ABOVE
ై      | U+0C48   | 3,167      | TELUGU VOWEL SIGN AI
फ      | U+092B   | 3,132      | DEVANAGARI LETTER PHA
ও      | U+0993   | 3,130      | BENGALI LETTER O
🔳      | U+1F533  | 3,120      | WHITE SQUARE BUTTON
ూ      | U+0C42   | 3,108      | TELUGU VOWEL SIGN UU
ā      | U+0101   | 3,094      | LATIN SMALL LETTER A WITH MACRON
খ      | U+0996   | 3,084      | BENGALI LETTER KHA
औ      | U+0914   | 3,082      | DEVANAGARI LETTER AU
ý      | U+00FD   | 2,985      | LATIN SMALL LETTER Y WITH ACUTE
ೂ      | U+0CC2   | 2,947      | KANNADA VOWEL SIGN UU
ی      | U+06CC   | 2,913      | ARABIC LETTER FARSI YEH
ট      | U+099F   | 2,874      | BENGALI LETTER TTA
ط      | U+0637   | 2,793      | ARABIC LETTER TAH
অ      | U+0985   | 2,773      | BENGALI LETTER A
ெ      | U+0BC6   | 2,767      | TAMIL VOWEL SIGN E
গ      | U+0997   | 2,723      | BENGALI LETTER GA
ங      | U+0B99   | 2,720      | TAMIL LETTER NGA
ఆ      | U+0C06   | 2,693      | TELUGU LETTER AA
శ      | U+0C36   | 2,691      | TELUGU LETTER SHA
ł      | U+0142   | 2,686      | LATIN SMALL LETTER L WITH STROKE
़      | U+093C   | 2,660      | DEVANAGARI SIGN NUKTA
హ      | U+0C39   | 2,657      | TELUGU LETTER HA
×      | U+00D7   | 2,631      | MULTIPLICATION SIGN
జ      | U+0C1C   | 2,630      | TELUGU LETTER JA
ொ      | U+0BCA   | 2,584      | TAMIL VOWEL SIGN O
ø      | U+00F8   | 2,575      | LATIN SMALL LETTER O WITH STROKE
ೋ      | U+0CCB   | 2,573      | KANNADA VOWEL SIGN OO
ೊ      | U+0CCA   | 2,545      | KANNADA VOWEL SIGN O
உ      | U+0B89   | 2,528      | TAMIL LETTER U
ಟ      | U+0C9F   | 2,522      | KANNADA LETTER TTA
ష      | U+0C37   | 2,492      | TELUGU LETTER SSA
ء      | U+0621   | 2,469      | ARABIC LETTER HAMZA
চ      | U+099A   | 2,375      | BENGALI LETTER CA
য়      | U+09DF   | 2,352      | BENGALI LETTER YYA
�      | U+FFFD   | 2,348      | REPLACEMENT CHARACTER
ـ      | U+0640   | 2,332      | ARABIC TATWEEL
Ñ      | U+00D1   | 2,310      | LATIN CAPITAL LETTER N WITH TILDE
ণ      | U+09A3   | 2,284      | BENGALI LETTER NNA
ö      | U+00F6   | 2,193      | LATIN SMALL LETTER O WITH DIAERESIS
ূ      | U+09C2   | 2,176      | BENGALI VOWEL SIGN UU
ಆ      | U+0C86   | 2,143      | KANNADA LETTER AA
ீ      | U+0BC0   | 2,135      | TAMIL VOWEL SIGN II
⁄      | U+2044   | 2,134      | FRACTION SLASH
ई      | U+0908   | 2,128      | DEVANAGARI LETTER II
ೀ      | U+0CC0   | 2,105      | KANNADA VOWEL SIGN II
●      | U+25CF   | 2,085      | BLACK CIRCLE
🎶      | U+1F3B6  | 2,069      | MULTIPLE MUSICAL NOTES
ధ      | U+0C27   | 2,018      | TELUGU LETTER DHA
♫      | U+266B   | 2,004      | BEAMED EIGHTH NOTES
غ      | U+063A   | 1,999      | ARABIC LETTER GHAIN
घ      | U+0918   | 1,975      | DEVANAGARI LETTER GHA
ॉ      | U+0949   | 1,955      | DEVANAGARI VOWEL SIGN CANDRA O
ó      | U+00F3   | 1,947      | LATIN SMALL LETTER O WITH ACUTE
উ      | U+0989   | 1,939      | BENGALI LETTER U
ழ      | U+0BB4   | 1,898      | TAMIL LETTER LLLA
झ      | U+091D   | 1,897      | DEVANAGARI LETTER JHA
à      | U+00E0   | 1,874      | LATIN SMALL LETTER A WITH GRAVE
′      | U+2032   | 1,852      | PRIME
о      | U+043E   | 1,830      | CYRILLIC SMALL LETTER O
ⱪ      | U+2C6A   | 1,793      | LATIN SMALL LETTER K WITH DESCENDER
ধ      | U+09A7   | 1,769      | BENGALI LETTER DHA
ĭ      | U+012D   | 1,768      | LATIN SMALL LETTER I WITH BREVE
ষ      | U+09B7   | 1,756      | BENGALI LETTER SSA
ï      | U+00EF   | 1,745      | LATIN SMALL LETTER I WITH DIAERESIS
―      | U+2015   | 1,741      | HORIZONTAL BAR
ಇ      | U+0C87   | 1,712      | KANNADA LETTER I
ṟ      | U+1E5F   | 1,706      | LATIN SMALL LETTER R WITH LINE BELOW
ʼ      | U+02BC   | 1,699      | MODIFIER LETTER APOSTROPHE
ň      | U+0148   | 1,698      | LATIN SMALL LETTER N WITH CARON
ॅ      | U+0945   | 1,682      | DEVANAGARI VOWEL SIGN CANDRA E
ṇ      | U+1E47   | 1,681      | LATIN SMALL LETTER N WITH DOT BELOW
ফ      | U+09AB   | 1,652      | BENGALI LETTER PHA
ئ      | U+0626   | 1,651      | ARABIC LETTER YEH WITH HAMZA ABOVE
ং      | U+0982   | 1,576      | BENGALI SIGN ANUSVARA
ﷺ      | U+FDFA   | 1,559      | ARABIC LIGATURE SALLALLAHOU ALAYHE WASALLAM
₹      | U+20B9   | 1,559      | INDIAN RUPEE SIGN
ఇ      | U+0C07   | 1,520      | TELUGU LETTER I
®      | U+00AE   | 1,507      | REGISTERED SIGN
и      | U+0438   | 1,505      | CYRILLIC SMALL LETTER I
ভ      | U+09AD   | 1,496      | BENGALI LETTER BHA
е      | U+0435   | 1,453      | CYRILLIC SMALL LETTER IE
а      | U+0430   | 1,422      | CYRILLIC SMALL LETTER A
̄      | U+0304   | 1,405      | COMBINING MACRON
ʻ      | U+02BB   | 1,372      | MODIFIER LETTER TURNED COMMA
ê      | U+00EA   | 1,349      | LATIN SMALL LETTER E WITH CIRCUMFLEX
భ      | U+0C2D   | 1,328      | TELUGU LETTER BHA
¡      | U+00A1   | 1,321      | INVERTED EXCLAMATION MARK
ढ      | U+0922   | 1,314      | DEVANAGARI LETTER DDHA
ஆ      | U+0B86   | 1,276      | TAMIL LETTER AA
ɇ      | U+0247   | 1,275      | LATIN SMALL LETTER E WITH STROKE
å      | U+00E5   | 1,266      | LATIN SMALL LETTER A WITH RING ABOVE
–      | U+2013   | 1,259      | EN DASH
ಷ      | U+0CB7   | 1,206      | KANNADA LETTER SSA
■      | U+25A0   | 1,185      | BLACK SQUARE
н      | U+043D   | 1,170      | CYRILLIC SMALL LETTER EN
т      | U+0442   | 1,168      | CYRILLIC SMALL LETTER TE
→      | U+2192   | 1,166      | RIGHTWARDS ARROW
ூ      | U+0BC2   | 1,151      | TAMIL VOWEL SIGN UU
č      | U+010D   | 1,138      | LATIN SMALL LETTER C WITH CARON
ঁ      | U+0981   | 1,126      | BENGALI SIGN CANDRABINDU
ಎ      | U+0C8E   | 1,110      | KANNADA LETTER E
ড      | U+09A1   | 1,100      | BENGALI LETTER DDA
छ      | U+091B   | 1,093      | DEVANAGARI LETTER CHA
ऊ      | U+090A   | 1,078      | DEVANAGARI LETTER UU
ḻ      | U+1E3B   | 1,076      | LATIN SMALL LETTER L WITH LINE BELOW
ఉ      | U+0C09   | 1,070      | TELUGU LETTER U
ظ      | U+0638   | 1,058      | ARABIC LETTER ZAH
ğ      | U+011F   | 1,055      | LATIN SMALL LETTER G WITH BREVE
ಜ      | U+0C9C   | 1,036      | KANNADA LETTER JA
š      | U+0161   | 1,012      | LATIN SMALL LETTER S WITH CARON
ಣ      | U+0CA3   | 1,008      | KANNADA LETTER NNA
ಶ      | U+0CB6   | 999        | KANNADA LETTER SHA
ک      | U+06A9   | 990        | ARABIC LETTER KEHEH
✍      | U+270D   | 976        | WRITING HAND
ఎ      | U+0C0E   | 971        | TELUGU LETTER E
ृ      | U+0943   | 971        | DEVANAGARI VOWEL SIGN VOCALIC R
с      | U+0441   | 961        | CYRILLIC SMALL LETTER ES
р      | U+0440   | 941        | CYRILLIC SMALL LETTER ER
ஸ      | U+0BB8   | 937        | TAMIL LETTER SA
ణ      | U+0C23   | 928        | TELUGU LETTER NNA
€      | U+20AC   | 928        | EURO SIGN
№      | U+2116   | 905        | NUMERO SIGN
†      | U+2020   | 897        | DAGGER
ঃ      | U+0983   | 887        | BENGALI SIGN VISARGA
ಚ      | U+0C9A   | 886        | KANNADA LETTER CA
آ      | U+0622   | 883        | ARABIC LETTER ALEF WITH MADDA ABOVE
Ç      | U+00C7   | 882        | LATIN CAPITAL LETTER C WITH CEDILLA
ḏ      | U+1E0F   | 858        | LATIN SMALL LETTER D WITH LINE BELOW
ً      | U+064B   | 853        | ARABIC FATHATAN
“      | U+201C   | 823        | LEFT DOUBLE QUOTATION MARK
ƣ      | U+01A3   | 819        | LATIN SMALL LETTER OI
£      | U+00A3   | 809        | POUND SIGN
ओ      | U+0913   | 808        | DEVANAGARI LETTER O
ஒ      | U+0B92   | 806        | TAMIL LETTER O
ಧ      | U+0CA7   | 800        | KANNADA LETTER DHA
ौ      | U+094C   | 794        | DEVANAGARI VOWEL SIGN AU
ஜ      | U+0B9C   | 789        | TAMIL LETTER JA
ँ      | U+0901   | 770        | DEVANAGARI SIGN CANDRABINDU
ã      | U+00E3   | 759        | LATIN SMALL LETTER A WITH TILDE
ہ      | U+06C1   | 753        | ARABIC LETTER HEH GOAL
ŭ      | U+016D   | 749        | LATIN SMALL LETTER U WITH BREVE
১      | U+09E7   | 738        | BENGALI DIGIT ONE
æ      | U+00E6   | 736        | LATIN SMALL LETTER AE
‡      | U+2021   | 728        | DOUBLE DAGGER
ؤ      | U+0624   | 726        | ARABIC LETTER WAW WITH HAMZA ABOVE
л      | U+043B   | 702        | CYRILLIC SMALL LETTER EL
в      | U+0432   | 700        | CYRILLIC SMALL LETTER VE
ళ      | U+0C33   | 693        | TELUGU LETTER LLA
🔥      | U+1F525  | 689        | FIRE
